feature;importance_mean;importance_std
Torque [Nm];0.028800000000000058;0.0024718414188616466
Air temperature [K];0.02585000000000004;0.0042605750785545335
Rotational speed [rpm];0.020750000000000036;0.001820027472320135
Process temperature [K];0.011050000000000037;0.0013865424623862072
Tool wear [min];0.009250000000000026;0.0016770509831248496
