;precision;recall;f1-score;support
0;0.99;1.0;0.99;1932.0
1;0.86;0.65;0.74;68.0
accuracy;0.98;0.98;0.98;0.98
macro avg;0.93;0.82;0.87;2000.0
weighted avg;0.98;0.98;0.98;2000.0
